file,name,name_kaytetye,audio,phrases,phrases_kaytetye,phrases_english
081_ilere.png,Curlew,Ilere,081_ilere.mp3,081phrase_ilere.mp3,"Pwertaye, ilere-ketye, nthelartepe aynewanthepe atnhante interarlwerantye re, arntetyaylemeketye.","Watch out, there’s a curlew, its following us and might make us sick."
082_ayepayte.png,Caterpillar,Ayepayte,082_ayepayte.mp3,082phrase_ayepayte.mp3,Ayepaytepe nhartepe apmelerre rtame aperrane.,Caterpillers can be found everywhere.
083_entelyapelyape.png,Butterfly,Ntelyapelyape,083_entelyapelyape.mp3,083phrase_entelyapelyape.mp3,Ntelyapelyape nharte artnperr-entweyane arntwarle karrarrerane.,The butterflies are flittering and gathering around the water.
084_enwenengke.png,Tawny Frogmouth,Enwenengke,084_enwenengke.mp3,084phrase_enwenengke.mp3,"Enwenengke nharte atnkwarengele angkerrane ketye, ilperele. Ilpere arenye rtame re enwenengkepe angkerrane.",The tawny frogmouth calls out at night from its hollow tree. It lives in a hollow tree.
085_rrpwere.png,Magpie / Butcherbird,Rrpwere,085_rrpwere.mp3,085phrase_rrpwere.mp3,"Rrpwere nharte angkerrane ketye, ipmarrerantye aynewanthe rrpwerelepe.",Look out that magpie is telling us off.
086_atnhelengkwe.png,Emu,Atnhelengkwe,086_atnhelengkwe.mp3,086phrase_atnhelengkwe.mp3,"Tyelartaye, atnhelengkwepe amperlanpanenhe. Tyangkwerre nawe, arntwepe kwatheyayne, tyangkwerre apewene enthwelp-enthwene. Tyewarlartepe kwatheyayne tneyele ayenge ngwenge akerre aperrernenyewethe.","Here look, this is an emu track it went past there to drink water. Let's go and keep looking for him over there. Oh he's been drinking here! We'll come back and look for it in the morning."
087_pwelerrnge.png,Boobook Owl,Pwelerrnge,087_pwelerrnge.mp3,087phrase_pwelerrnge.mp3,"Pwerlerrngepe atnkwarengele 'tyangkwerre nthepele angkenke, pwerlerrngepe'. Nyarte kwereyenge ilperepe kwerelarle angkerranepe.",That boobook owl is always calling at night from over there. Calling from that hollow tree over there.
088_kangkere.png,Bluetongue Lizard,Kangkere,088_kangkere.mp3,088phrase_kangkere.mp3,Kangkere aynanthe aynewethawe!,Let's eat the bluetongue lizard.
089_kelelkelelke.png,Galah,Kelelkelelke,089_kelelkelelke.mp3,089phrase_kelelkelelke.mp3,"Kelelkelelke nhartepe aperrane ilwekerane, apmere arrpanenhe arle.","Galahs go everywhere, poor things."
090_lyerre-lyerre.png,Fairy-wren,Lyerre-lyerre,090_lyerre-lyerre.mp3,090phrase_lyerre-lyerre.mp3,Pwertaye lyerre-lyerre nharte apenke anye angkelp-angkenke.,"Hey someone must be here, that little fairy wren is flying past and telling us something."
